"id","main_expenditure_groups_ar","main_expenditure_groups_en","weight","year","month_ar","month_en","price_index"
"836"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2020","مايو","May","100.45"
"837","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2020","مايو","May","96.23"
"838","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2020","مايو","May","113.95"
"839"," مجموعة الصحة","Health group","0.85","2020","مايو","May","102.50"
"840"," مجموعة النقل","Transport group","10.62","2020","مايو","May","100.86"
"841"," مجموعة الاتصالات","Communication group","5.22","2020","مايو","May","105.47"
"842"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2020","مايو","May","84.16"
"843"," مجموعة التعليم","Education group","8.48","2020","مايو","May","120.41"
"844"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2020","مايو","May","120.26"
"845"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2020","مايو","May","114.71"
"820","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2020","إبريل","April","103.93"
"821"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2020","إبريل","April","110.94"
"822"," مجموعة التبغ","Tobacco group","0.35","2020","إبريل","April","203.63"
"823"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2020","إبريل","April","100.45"
"824","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2020","إبريل","April","96.67"
"825","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2020","إبريل","April","113.82"
"826"," مجموعة الصحة","Health group","0.85","2020","إبريل","April","102.50"
"827"," مجموعة النقل","Transport group","10.62","2020","إبريل","April","97.50"
"828"," مجموعة الاتصالات","Communication group","5.22","2020","إبريل","April","105.53"
"829"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2020","إبريل","April","84.41"
"830"," مجموعة التعليم","Education group","8.48","2020","إبريل","April","120.41"
"831"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2020","إبريل","April","120.55"
"832"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2020","إبريل","April","114.64"
"807","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2020","مارس","March","105.07"
"808"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2020","مارس","March","109.97"
"809"," مجموعة التبغ","Tobacco group","0.35","2020","مارس","March","203.63"
"810"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2020","مارس","March","100.45"
"811","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2020","مارس","March","97.50"
"812","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2020","مارس","March","113.83"
"813"," مجموعة الصحة","Health group","0.85","2020","مارس","March","102.50"
"814"," مجموعة النقل","Transport group","10.62","2020","مارس","March","106.45"
"815"," مجموعة الاتصالات","Communication group","5.22","2020","مارس","March","105.60"
"816"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2020","مارس","March","84.27"
"817"," مجموعة التعليم","Education group","8.48","2020","مارس","March","120.15"
"818"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2020","مارس","March","120.71"
"819"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2020","مارس","March","114.11"
"794","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2020","فبراير","February","105.79"
"795"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2020","فبراير","February","107.29"
"796"," مجموعة التبغ","Tobacco group","0.35","2020","فبراير","February","203.44"
"797"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2020","فبراير","February","100.45"
"798","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2020","فبراير","February","98.82"
"799","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2020","فبراير","February","113.91"
"800"," مجموعة الصحة","Health group","0.85","2020","فبراير","February","102.50"
"801"," مجموعة النقل","Transport group","10.62","2020","فبراير","February","109.91"
"802"," مجموعة الاتصالات","Communication group","5.22","2020","فبراير","February","105.55"
"803"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2020","فبراير","February","88.57"
"804"," مجموعة التعليم","Education group","8.48","2020","فبراير","February","120.15"
"805"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2020","فبراير","February","120.82"
"806"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2020","فبراير","February","114.56"
"781","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2020","يناير","January","106.15"
"782"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2020","يناير","January","107.15"
"783"," مجموعة التبغ","Tobacco group","0.35","2020","يناير","January","203.46"
"784"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2020","يناير","January","100.45"
"785","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2020","يناير","January","99.24"
"786","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2020","يناير","January","113.83"
"787"," مجموعة الصحة","Health group","0.85","2020","يناير","January","102.50"
"788"," مجموعة النقل","Transport group","10.62","2020","يناير","January","110.46"
"789"," مجموعة الاتصالات","Communication group","5.22","2020","يناير","January","105.55"
"790"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2020","يناير","January","92.67"
"791"," مجموعة التعليم","Education group","8.48","2020","يناير","January","120.15"
"792"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2020","يناير","January","121.04"
"793"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2020","يناير","January","115.08"
"768","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","ديسمبر","December","106.75"
"769"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","ديسمبر","December","107.56"
"770"," مجموعة التبغ","Tobacco group","0.35","2019","ديسمبر","December","203.45"
"771"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","ديسمبر","December","108.00"
"772","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","ديسمبر","December","99.72"
"773","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","ديسمبر","December","114.28"
"774"," مجموعة الصحة","Health group","0.85","2019","ديسمبر","December","102.48"
"775"," مجموعة النقل","Transport group","10.62","2019","ديسمبر","December","111.74"
"776"," مجموعة الاتصالات","Communication group","5.22","2019","ديسمبر","December","105.67"
"777"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","ديسمبر","December","96.67"
"778"," مجموعة التعليم","Education group","8.48","2019","ديسمبر","December","119.92"
"779"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","ديسمبر","December","120.59"
"780"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","ديسمبر","December","114.58"
"755","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","نوفمبر","November","106.43"
"756"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","نوفمبر","November","107.79"
"757"," مجموعة التبغ","Tobacco group","0.35","2019","نوفمبر","November","177.00"
"758"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","نوفمبر","November","107.97"
"759","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","نوفمبر","November","100.12"
"760","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","نوفمبر","November","114.01"
"761"," مجموعة الصحة","Health group","0.85","2019","نوفمبر","November","102.47"
"762"," مجموعة النقل","Transport group","10.62","2019","نوفمبر","November","108.56"
"763"," مجموعة الاتصالات","Communication group","5.22","2019","نوفمبر","November","105.69"
"764"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","نوفمبر","November","92.32"
"765"," مجموعة التعليم","Education group","8.48","2019","نوفمبر","November","119.92"
"766"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","نوفمبر","November","120.68"
"767"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","نوفمبر","November","114.86"
"742","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","أكتوبر","October","106.67"
"743"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","أكتوبر","October","107.27"
"744"," مجموعة التبغ","Tobacco group","0.35","2019","أكتوبر","October","177.08"
"745"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","أكتوبر","October","107.97"
"746","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","أكتوبر","October","100.47"
"747","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","أكتوبر","October","114.02"
"748"," مجموعة الصحة","Health group","0.85","2019","أكتوبر","October","102.47"
"749"," مجموعة النقل","Transport group","10.62","2019","أكتوبر","October","109.31"
"750"," مجموعة الاتصالات","Communication group","5.22","2019","أكتوبر","October","105.35"
"751"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","أكتوبر","October","95.32"
"752"," مجموعة التعليم","Education group","8.48","2019","أكتوبر","October","119.92"
"753"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","أكتوبر","October","120.57"
"754"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","أكتوبر","October","115.25"
"729","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","سبتمبر","September","106.96"
"730"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","سبتمبر","September","107.79"
"731"," مجموعة التبغ","Tobacco group","0.35","2019","سبتمبر","September","176.99"
"732"," مجموعة الملابس وملبوسات القدم","Clothing and Footwear group","2.05","2019","سبتمبر","September","101.95"
"733","مجموعة السكن والمياه والكهرباء والغاز والوقود","Housing/water/electricity/gas/other fuels group","43.62","2019","سبتمبر","September","100.89"
"734","مجموعة الاثاث والتأثيث والأدوات المنزلية وإصلاحها","Furnishings/household equipment/routine household maintenance group","3.76","2019","سبتمبر","September","113.32"
"735"," مجموعة الصحة","Health group","0.85","2019","سبتمبر","September","102.48"
"736"," مجموعة النقل","Transport group","10.62","2019","سبتمبر","September","110.36"
"737"," مجموعة الاتصالات","Communication group","5.22","2019","سبتمبر","September","105.41"
"738"," مجموعة الترفيه والثقافه","Recreation and Culture group","2.33","2019","سبتمبر","September","97.95"
"739"," مجموعة التعليم","Education group","8.48","2019","سبتمبر","September","119.91"
"740"," مجموعة المطاعم والفنادق","Restaurants and hotels group","4.00","2019","سبتمبر","September","120.15"
"741"," مجموعة السلع والخدمات المتنوعة","Miscellaneous Goods and Services group","5.63","2019","سبتمبر","September","115.85"
"716","الرقم القياسي لأسعار المستهلك ","General index number","100.00","2019","أغسطس","August","107.76"
"717"," مجموعة الطعام والمشروبات","Food and beverages group","13.09","2019","أغسطس","August","107.32"
"718"," مجموعة التبغ","Tobacco group","0.35","2019","أغسطس","August","175.64"
